idcontrato;idAdjudicatario
10472094;RGPD
10472254;502183772
10472305;517328313
10472343;501378669
10472380;501667636
10472429;RGPD
10472437;507539117
10472583;503514756
10472696;RGPD
10472723;RGPD
10473037;516510657
10473047;RGPD
10473051;502262184
10473079;506708616
10473080;RGPD
10473110;RGPD
nan;2265.51
10473162;501463313
nan;148326.37
10473227;RGPD
10473284;RGPD
10473446;513051716
10473456;501274928
10473582;504223933
10473595;508236886
10473775;508030900
10473842;503183997
10473866;509402607
10473882;502266791
10473970;500178933
10474211;504293753
10474249;503347345
10474474;506582043
10474562;503828203
10474608;RGPD
10474656;RGPD
10474730;RGPD
10475006;RGPD
10475109;503451541
10475116;508831989
10475188;503803618
10475193;510130356
10475409;504527380
10475517;503842770
10475555;503842770
10475656;502519533
10475711;513108890
10475931;510313213
10475943;502262184
10475945;513718737
10476107;505044897
10476114;RGPD
10476244;501075666
10476263;504223933
10476272;508569974
10476315;504282921
10476353;501369295
10476355;501169580
10476407;501469460
10476410;503857769
10476431;980474710
10476434;502604751
10476614;500079846
10476622;514641380
10476715;502425555
10476728;505110024
10476837;503070220
10476889;507309723
10476914;507072065
10476924;504615947
10476949;502297271
10476968;508306000
10477006;502304995
10477111;503200360
10477163;500635609
10477178;RGPD
10477223;RGPD
10477234;509506801
10477248;515389692
10477258;504081527
10477321;RGPD
BIFE DE FRANGO;01/02/2024
MASSA MA;602.9
nan;330.48
SALSICHA EM L;495.55
ICE TEA em LATA (O;643.22
